country,year,population,co2,methane,nitrous_oxide,total_ghg,avg_temp,avg_temp_uncertainty
Belgium,1990,9959565.0,120.293,13.26,8.19,126.91,10.935333333333332,0.22983333333333333
Belgium,1991,9987072.0,123.363,13.35,8.12,131.82,9.709166666666667,0.18383333333333332
Belgium,1992,10016455.0,122.488,13.16,7.74,129.87,10.48925,0.2603333333333333
Belgium,1993,10043738.0,121.424,12.97,7.96,127.67,9.925833333333333,0.20291666666666666
Belgium,1994,10069182.0,124.797,13.01,8.47,133.03,10.99675,0.20624999999999996
Belgium,1995,10095204.0,125.936,13.13,8.84,133.19,10.69675,0.20375
Belgium,1996,10123230.0,129.479,13.01,9.34,138.54,8.893166666666668,0.19258333333333333
Belgium,1997,10154876.0,123.991,12.82,9.03,135.36,10.472416666666666,0.18733333333333335
Belgium,1998,10188541.0,130.223,12.55,9.13,138.12,10.369166666666667,0.17825
Belgium,1999,10224223.0,124.681,12.61,9.06,134.27,10.93425,0.19808333333333336
Belgium,2000,10264351.0,126.722,12.14,7.69,134.3,11.03425,0.19716666666666668
Belgium,2001,10309249.0,126.066,11.63,7.48,135.73,10.543333333333333,0.21258333333333332
Belgium,2002,10355569.0,126.863,11.08,7.97,128.4,11.03575,0.2060833333333333
Belgium,2003,10402550.0,128.248,10.4,7.21,131.79,10.870249999999999,0.24575
Belgium,2004,10456164.0,128.771,10.26,7.29,129.67,10.452583333333333,0.21691666666666665
Belgium,2005,10516979.0,125.628,9.99,7.17,126.94,10.727833333333331,0.18275
Belgium,2006,10582970.0,123.873,9.83,6.16,123.03,11.09525,0.22883333333333333
Belgium,2007,10653698.0,120.463,9.65,5.53,118.24,11.1455,0.19466666666666665
Belgium,2008,10726720.0,120.17,9.45,5.49,120.96,10.504916666666665,0.18800000000000003
Belgium,2009,10801357.0,107.765,9.36,5.69,114.45,10.6285,0.21675
Belgium,2010,10877948.0,114.604,9.24,6.21,121.93,9.361749999999999,0.22416666666666665
Belgium,2011,10955742.0,105.069,8.99,4.95,110.83,11.305333333333332,0.23199999999999998
Belgium,2012,11031140.0,102.405,8.83,4.96,109.61,10.351833333333333,0.25975
Belgium,2013,11103260.0,102.715,8.61,4.85,110.55,10.060125,0.282625
Denmark,1990,5144626.0,53.477,9.63,7.48,70.69,-17.870333333333335,0.5906666666666667
Denmark,1991,5158325.0,64.105,9.9,7.36,81.57,-17.827916666666667,0.55325
Denmark,1992,5175466.0,58.327,9.95,6.89,75.42,-19.00041666666667,0.5900833333333334
Denmark,1993,5193776.0,60.574,10.13,6.93,78.07,-18.716166666666666,0.5491666666666667
Denmark,1994,5213801.0,64.673,10.01,6.83,81.77,-18.085416666666667,0.6011666666666667
Denmark,1995,5235205.0,61.653,9.96,6.83,78.68,-17.69783333333333,0.7613333333333333
Denmark,1996,5256002.0,74.9,10.09,6.78,92.21,-16.805666666666667,0.6806666666666666
Denmark,1997,5277385.0,65.438,10.19,6.77,82.54,-17.455333333333332,0.6166666666666667
Denmark,1998,5298991.0,61.238,10.17,6.59,78.54,-16.62091666666667,0.7848333333333334
Denmark,1999,5319856.0,58.653,10.25,6.63,75.77,-17.699083333333334,0.6765
Denmark,2000,5340662.0,54.307,10.56,6.62,72.07,-16.8245,0.9110833333333334
Denmark,2001,5360753.0,55.897,10.74,6.45,73.42,-17.06775,0.6745
Denmark,2002,5378700.0,55.554,10.62,6.28,72.77,-16.291083333333336,0.7665000000000001
Denmark,2003,5396355.0,60.645,10.56,6.43,78.28,-15.747083333333334,0.7151666666666667
Denmark,2004,5415583.0,55.1,10.53,5.73,72.11,-16.77058333333333,0.7045833333333333
Denmark,2005,5436314.0,51.535,10.41,5.62,68.42,-15.643,0.60475
Denmark,2006,5457863.0,59.5,10.17,5.56,76.07,-16.574333333333332,0.7691666666666667
Denmark,2007,5479722.0,54.709,9.99,5.53,71.17,-16.533083333333334,0.7951666666666667
