dt,avg_temp,avg_temp_uncertainty,country
1900-01-01,21.171,0.455,Bahamas
1900-02-01,21.09,0.472,Bahamas
1900-03-01,22.824,0.435,Bahamas
1900-04-01,24.343000000000004,0.399,Bahamas
1900-05-01,26.126,0.346,Bahamas
1900-06-01,27.422,0.471,Bahamas
1900-07-01,28.113000000000003,0.544,Bahamas
1900-08-01,28.708,0.468,Bahamas
1900-09-01,27.487,0.605,Bahamas
1900-10-01,26.57,0.7,Bahamas
1900-11-01,24.169,1.3430000000000002,Bahamas
1900-12-01,22.666,0.976,Bahamas
1901-01-01,20.735,0.947,Bahamas
1901-02-01,20.844,0.5539999999999999,Bahamas
1901-03-01,22.551,0.405,Bahamas
1901-04-01,22.896,0.72,Bahamas
1901-05-01,25.177,0.573,Bahamas
1901-06-01,27.019,0.5870000000000001,Bahamas
1901-07-01,27.974,0.72,Bahamas
1901-08-01,28.046,0.5579999999999999,Bahamas
1901-09-01,27.728,0.477,Bahamas
1901-10-01,25.722,0.355,Bahamas
1901-11-01,22.394,0.579,Bahamas
1901-12-01,21.405,0.463,Bahamas
1902-01-01,20.059,0.7559999999999999,Bahamas
1902-02-01,20.45,0.555,Bahamas
1902-03-01,22.582,0.317,Bahamas
1902-04-01,23.577,0.45,Bahamas
1902-05-01,25.774,0.596,Bahamas
1902-06-01,27.187,0.419,Bahamas
1902-07-01,28.132,0.8490000000000001,Bahamas
1902-08-01,28.259,0.403,Bahamas
1902-09-01,27.672,0.35,Bahamas
1902-10-01,26.238000000000003,1.324,Bahamas
1902-11-01,24.48,0.657,Bahamas
1902-12-01,22.79,0.638,Bahamas
1903-01-01,21.891,0.898,Bahamas
1903-02-01,23.28,0.6709999999999999,Bahamas
1903-03-01,23.842,0.6459999999999999,Bahamas
1903-04-01,23.243,0.452,Bahamas
1903-05-01,24.726,0.397,Bahamas
1903-06-01,26.884,0.412,Bahamas
1903-07-01,28.078000000000003,0.49,Bahamas
1903-08-01,28.358,0.503,Bahamas
1903-09-01,26.937,0.574,Bahamas
1903-10-01,25.243,0.703,Bahamas
1903-11-01,23.354,0.7340000000000001,Bahamas
1903-12-01,21.097,0.763,Bahamas
1904-01-01,21.49,1.095,Bahamas
1904-02-01,22.48,0.461,Bahamas
1904-03-01,23.328000000000003,0.309,Bahamas
1904-04-01,23.811,0.529,Bahamas
1904-05-01,25.373,0.319,Bahamas
1904-06-01,26.512,0.4270000000000001,Bahamas
1904-07-01,27.405,0.403,Bahamas
1904-08-01,27.579,0.475,Bahamas
1904-09-01,27.115,0.402,Bahamas
1904-10-01,25.643,0.593,Bahamas
1904-11-01,23.071,0.387,Bahamas
1904-12-01,22.219,0.541,Bahamas
1905-01-01,20.286,0.8909999999999999,Bahamas
1905-02-01,22.066,1.219,Bahamas
1905-03-01,23.587,0.443,Bahamas
1905-04-01,24.062,0.399,Bahamas
1905-05-01,27.036,0.703,Bahamas
1905-06-01,27.536,0.415,Bahamas
1905-07-01,27.992,0.471,Bahamas
1905-08-01,28.331,0.384,Bahamas
1905-09-01,27.672,0.416,Bahamas
1905-10-01,26.417,0.418,Bahamas
1905-11-01,24.849,0.438,Bahamas
1905-12-01,22.995,0.733,Bahamas
1906-01-01,22.365,0.932,Bahamas
1906-02-01,21.926,1.075,Bahamas
1906-03-01,22.751,0.322,Bahamas
1906-04-01,23.451,0.495,Bahamas
1906-05-01,25.462,0.246,Bahamas
1906-06-01,26.654,1.107,Bahamas
1906-07-01,27.876,0.434,Bahamas
1906-08-01,27.831,0.361,Bahamas
1906-09-01,27.71,0.434,Bahamas
1906-10-01,25.789,0.753,Bahamas
1906-11-01,23.98,0.5329999999999999,Bahamas
1906-12-01,21.391,1.006,Bahamas
1907-01-01,22.368,0.584,Bahamas
1907-02-01,21.408,0.628,Bahamas
1907-03-01,23.115,0.938,Bahamas
1907-04-01,23.238000000000003,0.6809999999999999,Bahamas
1907-05-01,26.057,0.71,Bahamas
1907-06-01,27.116,0.418,Bahamas
1907-07-01,28.029,0.321,Bahamas
1907-08-01,28.121,0.36,Bahamas
1907-09-01,27.664,0.422,Bahamas
1907-10-01,25.799000000000003,0.211,Bahamas
1907-11-01,24.529,0.403,Bahamas
1907-12-01,22.847,0.451,Bahamas
1908-01-01,21.524,0.6970000000000001,Bahamas
1908-02-01,21.077,0.695,Bahamas
1908-03-01,23.59,0.491,Bahamas
1908-04-01,25.44400000000001,0.298,Bahamas
1908-05-01,25.952,0.556,Bahamas
1908-06-01,26.911,0.3720000000000001,Bahamas
1908-07-01,27.928,0.402,Bahamas
1908-08-01,28.105,0.377,Bahamas
1908-09-01,27.477,0.49,Bahamas
1908-10-01,25.242,0.405,Bahamas
1908-11-01,24.176,0.412,Bahamas
1908-12-01,23.087,0.752,Bahamas
1909-01-01,22.107,0.493,Bahamas
1909-02-01,21.963,0.715,Bahamas
1909-03-01,23.32,0.464,Bahamas
1909-04-01,24.108,0.6,Bahamas
1909-05-01,26.002,0.789,Bahamas
1909-06-01,27.293000000000003,0.34,Bahamas
1909-07-01,27.811,0.336,Bahamas
1909-08-01,27.775,0.396,Bahamas
1909-09-01,27.13,0.397,Bahamas
1909-10-01,25.69100000000001,0.403,Bahamas
1909-11-01,23.409,0.4,Bahamas
1909-12-01,20.985,0.667,Bahamas
1910-01-01,21.148000000000003,1.16,Bahamas
1910-02-01,21.284,0.5429999999999999,Bahamas
1910-03-01,22.048,0.457,Bahamas
1910-04-01,23.158,0.282,Bahamas
1910-05-01,25.151,0.34,Bahamas
1910-06-01,26.791,0.232,Bahamas
1910-07-01,27.573,0.354,Bahamas
1910-08-01,27.808000000000003,0.317,Bahamas
1910-09-01,27.033,0.696,Bahamas
1910-10-01,25.721,0.422,Bahamas
1910-11-01,22.693,0.442,Bahamas
1910-12-01,20.394,0.4920000000000001,Bahamas
1911-01-01,22.285,0.638,Bahamas
1911-02-01,22.193,0.45,Bahamas
1911-03-01,22.674,0.405,Bahamas
1911-04-01,24.085,0.614,Bahamas
1911-05-01,24.717,0.285,Bahamas
1911-06-01,27.202,0.349,Bahamas
1911-07-01,27.941,0.5579999999999999,Bahamas
1911-08-01,27.809,0.487,Bahamas
1911-09-01,27.625,0.516,Bahamas
1911-10-01,26.722,0.575,Bahamas
1911-11-01,25.35,0.575,Bahamas
1911-12-01,23.421,0.785,Bahamas
1912-01-01,22.594,0.973,Bahamas
1912-02-01,20.965,0.733,Bahamas
1912-03-01,24.28700000000001,0.448,Bahamas
1912-04-01,25.075000000000006,0.482,Bahamas
1912-05-01,26.326,0.244,Bahamas
1912-06-01,27.174,0.289,Bahamas
1912-07-01,28.007,0.281,Bahamas
1912-08-01,28.117,0.36,Bahamas
1912-09-01,27.787,0.373,Bahamas
1912-10-01,26.178,0.835,Bahamas
1912-11-01,24.053,0.619,Bahamas
1912-12-01,23.835,0.503,Bahamas
1913-01-01,23.524,0.631,Bahamas
1913-02-01,23.296,0.394,Bahamas
1913-03-01,24.59,0.257,Bahamas
1913-04-01,23.203000000000007,0.585,Bahamas
1913-05-01,24.789,0.511,Bahamas
1913-06-01,26.452,0.701,Bahamas
1913-07-01,27.665,0.452,Bahamas
1913-08-01,27.673,0.352,Bahamas
1913-09-01,27.148000000000003,0.42,Bahamas
1913-10-01,25.146,1.286,Bahamas
1913-11-01,23.73,0.396,Bahamas
1913-12-01,22.202,0.745,Bahamas
1914-01-01,21.207,0.74,Bahamas
1914-02-01,22.161,0.504,Bahamas
1914-03-01,21.011000000000006,0.402,Bahamas
1914-04-01,24.213,0.333,Bahamas
1914-05-01,25.563,0.479,Bahamas
1914-06-01,27.263,0.708,Bahamas
1914-07-01,28.111,0.436,Bahamas
1914-08-01,28.371,0.4970000000000001,Bahamas
1914-09-01,27.333,0.277,Bahamas
1914-10-01,26.040000000000006,0.396,Bahamas
1914-11-01,23.751,0.377,Bahamas
1914-12-01,23.358,1.225,Bahamas
1915-01-01,22.332,0.551,Bahamas
1915-02-01,21.671,0.589,Bahamas
1915-03-01,20.636000000000006,0.433,Bahamas
1915-04-01,22.091,0.6659999999999999,Bahamas
1915-05-01,26.186,0.348,Bahamas
1915-06-01,27.382,0.354,Bahamas
1915-07-01,28.318,0.348,Bahamas
1915-08-01,28.399,0.464,Bahamas
1915-09-01,28.012,0.295,Bahamas
1915-10-01,26.797,0.355,Bahamas
1915-11-01,24.679,0.411,Bahamas
1915-12-01,21.876,0.521,Bahamas
1916-01-01,23.148000000000003,0.687,Bahamas
1916-02-01,21.59,0.71,Bahamas
1916-03-01,21.382,0.621,Bahamas
1916-04-01,22.752,0.7040000000000001,Bahamas
1916-05-01,25.376,0.461,Bahamas
1916-06-01,26.994,0.5429999999999999,Bahamas
1916-07-01,27.505,0.495,Bahamas
1916-08-01,27.797,0.274,Bahamas
1916-09-01,27.17,0.369,Bahamas
1916-10-01,25.711,0.378,Bahamas
1916-11-01,24.01,0.345,Bahamas
1916-12-01,22.144,0.443,Bahamas
1917-01-01,22.189,1.203,Bahamas
1917-02-01,21.443,0.446,Bahamas
1917-03-01,23.408,0.3229999999999999,Bahamas
1917-04-01,23.372,0.512,Bahamas
1917-05-01,25.088,0.545,Bahamas
1917-06-01,26.717,0.29,Bahamas
1917-07-01,27.843000000000004,0.3670000000000001,Bahamas
1917-08-01,27.805,0.4,Bahamas
1917-09-01,27.293000000000003,0.465,Bahamas
1917-10-01,25.934,0.394,Bahamas
1917-11-01,22.4,0.565,Bahamas
1917-12-01,20.846,0.778,Bahamas
1918-01-01,20.199,0.669,Bahamas
1918-02-01,22.681,0.685,Bahamas
1918-03-01,23.55,0.41,Bahamas
1918-04-01,23.655,0.339,Bahamas
1918-05-01,24.924,0.254,Bahamas
1918-06-01,26.783,0.297,Bahamas
1918-07-01,27.731,0.262,Bahamas
1918-08-01,28.125,0.368,Bahamas
1918-09-01,26.735,0.703,Bahamas
1918-10-01,26.414,0.317,Bahamas
1918-11-01,23.939,0.55,Bahamas
1918-12-01,22.756,0.376,Bahamas
1919-01-01,21.705,0.5329999999999999,Bahamas
1919-02-01,22.084,0.522,Bahamas
1919-03-01,23.385,0.345,Bahamas
1919-04-01,23.325000000000006,0.373,Bahamas
1919-05-01,25.908,0.349,Bahamas
1919-06-01,27.021,0.247,Bahamas
1919-07-01,27.807,0.281,Bahamas
1919-08-01,28.819000000000003,0.66,Bahamas
1919-09-01,27.535,0.293,Bahamas
1919-10-01,27.125,0.481,Bahamas
1919-11-01,24.183000000000003,0.475,Bahamas
1919-12-01,22.303,0.5710000000000001,Bahamas
1920-01-01,21.614,0.732,Bahamas
1920-02-01,21.225,0.846,Bahamas
1920-03-01,22.466,0.296,Bahamas
1920-04-01,24.907,0.7340000000000001,Bahamas
1920-05-01,25.764,0.47,Bahamas
1920-06-01,27.278,0.477,Bahamas
1920-07-01,27.799,0.268,Bahamas
1920-08-01,27.849,0.395,Bahamas
1920-09-01,27.258000000000003,0.573,Bahamas
1920-10-01,25.81900000000001,0.649,Bahamas
1920-11-01,23.861,1.197,Bahamas
1920-12-01,22.72,0.475,Bahamas
1921-01-01,21.221,1.556,Bahamas
1921-02-01,22.15,0.588,Bahamas
1921-03-01,23.375,0.802,Bahamas
1921-04-01,24.368,0.264,Bahamas
1921-05-01,25.493,0.625,Bahamas
1921-06-01,27.486,0.406,Bahamas
1921-07-01,27.729,0.412,Bahamas
1921-08-01,27.968000000000004,0.299,Bahamas
1921-09-01,27.827,0.342,Bahamas
1921-10-01,25.888,0.261,Bahamas
1921-11-01,24.332,0.6779999999999999,Bahamas
1921-12-01,22.628,0.7070000000000001,Bahamas
1922-01-01,20.785,1.161,Bahamas
1922-02-01,21.619,1.871,Bahamas
1922-03-01,22.843000000000004,1.269,Bahamas
1922-04-01,23.754,1.295,Bahamas
1922-05-01,25.092,0.821,Bahamas
1922-06-01,25.984,1.082,Bahamas
1922-07-01,27.83,0.481,Bahamas
1922-08-01,27.393,0.453,Bahamas
1922-09-01,27.553,0.526,Bahamas
1922-10-01,26.179,0.315,Bahamas
1922-11-01,24.309,0.649,Bahamas
1922-12-01,23.168000000000003,0.488,Bahamas
1923-01-01,21.585,0.914,Bahamas
1923-02-01,21.382,1.208,Bahamas
1923-03-01,23.029,0.944,Bahamas
1923-04-01,23.629,0.64,Bahamas
1923-05-01,25.21,0.313,Bahamas
1923-06-01,27.086,0.433,Bahamas
1923-07-01,27.708,0.368,Bahamas
1923-08-01,27.904,0.467,Bahamas
1923-09-01,27.841,0.387,Bahamas
1923-10-01,26.0,0.4,Bahamas
1923-11-01,23.563,0.6629999999999999,Bahamas
1923-12-01,23.125,0.617,Bahamas
1924-01-01,22.558000000000003,0.578,Bahamas
1924-02-01,21.346,0.445,Bahamas
1924-03-01,21.93,0.313,Bahamas
1924-04-01,25.183000000000003,0.8490000000000001,Bahamas
1924-05-01,26.728,0.731,Bahamas
1924-06-01,27.952,0.391,Bahamas
1924-07-01,28.673,0.478,Bahamas
1924-08-01,28.917,0.573,Bahamas
1924-09-01,27.862,0.374,Bahamas
1924-10-01,26.349,0.52,Bahamas
1924-11-01,24.223000000000003,0.342,Bahamas
1924-12-01,23.816,0.434,Bahamas
1925-01-01,23.207,0.7290000000000001,Bahamas
1925-02-01,22.705,0.491,Bahamas
1925-03-01,23.547,0.748,Bahamas
1925-04-01,24.048,0.471,Bahamas
1925-05-01,26.006,0.757,Bahamas
1925-06-01,27.238000000000003,0.327,Bahamas
1925-07-01,27.928,0.319,Bahamas
1925-08-01,28.342,0.237,Bahamas
1925-09-01,28.33,0.268,Bahamas
1925-10-01,26.579,0.36,Bahamas
1925-11-01,24.417,0.386,Bahamas
1925-12-01,22.906,0.383,Bahamas
1926-01-01,21.436,0.807,Bahamas
1926-02-01,22.29,0.378,Bahamas
1926-03-01,22.85100000000001,0.599,Bahamas
1926-04-01,25.044,0.757,Bahamas
1926-05-01,25.973000000000003,0.4970000000000001,Bahamas
1926-06-01,27.34800000000001,0.283,Bahamas
1926-07-01,28.249,0.249,Bahamas
1926-08-01,28.785,0.383,Bahamas
1926-09-01,28.364,0.365,Bahamas
1926-10-01,27.155,0.691,Bahamas
1926-11-01,25.069000000000003,0.758,Bahamas
1926-12-01,23.672,0.494,Bahamas
1927-01-01,20.747,0.858,Bahamas
1927-02-01,23.231,0.8590000000000001,Bahamas
1927-03-01,23.309,0.393,Bahamas
1927-04-01,24.92,0.531,Bahamas
1927-05-01,25.948,0.348,Bahamas
1927-06-01,28.095,0.336,Bahamas
1927-07-01,28.245,0.246,Bahamas
1927-08-01,28.104,0.343,Bahamas
1927-09-01,27.21,0.546,Bahamas
1927-10-01,25.89,0.358,Bahamas
1927-11-01,24.301,0.8540000000000001,Bahamas
1927-12-01,22.247,0.378,Bahamas
1928-01-01,21.512,0.456,Bahamas
1928-02-01,22.997,0.507,Bahamas
1928-03-01,23.23,0.29,Bahamas
1928-04-01,23.858,0.316,Bahamas
1928-05-01,24.67,0.455,Bahamas
1928-06-01,27.346,0.236,Bahamas
1928-07-01,28.07,0.317,Bahamas
1928-08-01,27.949,0.315,Bahamas
1928-09-01,27.795,0.302,Bahamas
1928-10-01,26.15,0.631,Bahamas
1928-11-01,24.291,0.38,Bahamas
1928-12-01,22.286,0.466,Bahamas
1929-01-01,23.124,0.491,Bahamas
