dt,avg_temp,avg_temp_uncertainty,country
1980-01-01,23.414,0.341,Angola
1980-02-01,23.139,0.452,Angola
1980-03-01,23.302,0.579,Angola
1980-04-01,22.704,0.5660000000000001,Angola
1980-05-01,21.222,0.405,Angola
1980-06-01,18.763,0.645,Angola
1980-07-01,18.421,0.477,Angola
1980-08-01,20.721,0.557,Angola
1980-09-01,23.228,0.342,Angola
1980-10-01,23.817,0.33,Angola
1980-11-01,23.054,0.589,Angola
1980-12-01,23.146,0.342,Angola
1981-01-01,22.989,0.483,Angola
1981-02-01,23.208,0.366,Angola
1981-03-01,23.254,0.227,Angola
1981-04-01,22.551,0.425,Angola
1981-05-01,20.416,1.057,Angola
1981-06-01,18.885,1.1740000000000002,Angola
1981-07-01,18.553,0.411,Angola
1981-08-01,20.808000000000003,0.593,Angola
1981-09-01,22.454,0.401,Angola
1981-10-01,23.809,0.453,Angola
1981-11-01,23.586,0.267,Angola
1981-12-01,23.822000000000006,0.342,Angola
1982-01-01,23.004,0.665,Angola
1982-02-01,23.435,0.597,Angola
1982-03-01,23.23,0.648,Angola
1982-04-01,22.562,0.66,Angola
1982-05-01,20.520000000000003,1.092,Angola
1982-06-01,18.257,0.487,Angola
1982-07-01,18.398,0.621,Angola
1982-08-01,20.581,0.517,Angola
1982-09-01,22.734,0.6859999999999999,Angola
1982-10-01,22.963,0.381,Angola
1982-11-01,23.04,0.606,Angola
1982-12-01,23.116,0.562,Angola
1983-01-01,23.349,0.518,Angola
1983-02-01,24.361,0.667,Angola
1983-03-01,24.392,0.674,Angola
1983-04-01,23.317,0.8420000000000001,Angola
1983-05-01,21.773000000000003,0.365,Angola
1983-06-01,19.335,0.8079999999999999,Angola
1983-07-01,18.928,1.061,Angola
1983-08-01,19.96,0.515,Angola
1983-09-01,23.309,0.401,Angola
1983-10-01,23.513,0.596,Angola
1983-11-01,23.752,0.426,Angola
1983-12-01,22.418000000000006,0.608,Angola
1984-01-01,22.935,0.5710000000000001,Angola
1984-02-01,23.224,0.443,Angola
1984-03-01,23.618,0.356,Angola
1984-04-01,22.559,0.335,Angola
1984-05-01,21.708,0.264,Angola
1984-06-01,20.155,1.044,Angola
1984-07-01,19.048,0.302,Angola
1984-08-01,21.127,0.409,Angola
1984-09-01,23.534,0.392,Angola
1984-10-01,23.769,0.581,Angola
1984-11-01,23.162,0.777,Angola
1984-12-01,23.435,0.563,Angola
1985-01-01,23.339,0.436,Angola
1985-02-01,22.973000000000003,0.39,Angola
1985-03-01,23.594,0.401,Angola
1985-04-01,22.61,0.275,Angola
1985-05-01,20.882,0.464,Angola
1985-06-01,19.035,0.373,Angola
1985-07-01,18.66,0.466,Angola
1985-08-01,20.944000000000003,0.613,Angola
1985-09-01,22.897,0.455,Angola
1985-10-01,23.01,0.469,Angola
1985-11-01,23.24,0.415,Angola
1985-12-01,23.078000000000003,0.369,Angola
1986-01-01,23.235,0.396,Angola
1986-02-01,22.991,0.369,Angola
1986-03-01,22.985,0.399,Angola
1986-04-01,22.896,0.443,Angola
1986-05-01,21.345,0.628,Angola
1986-06-01,19.188,0.45,Angola
1986-07-01,19.263,0.401,Angola
1986-08-01,21.105,0.556,Angola
1986-09-01,22.897,0.341,Angola
1986-10-01,22.729,0.545,Angola
1986-11-01,22.847,0.425,Angola
1986-12-01,22.954,0.643,Angola
1987-01-01,23.603,0.6890000000000001,Angola
1987-02-01,23.39,0.6729999999999999,Angola
1987-03-01,23.994,0.444,Angola
1987-04-01,23.496,0.407,Angola
1987-05-01,22.342,0.455,Angola
1987-06-01,19.359,0.452,Angola
1987-07-01,19.16,0.411,Angola
1987-08-01,21.279,0.351,Angola
1987-09-01,23.637,0.568,Angola
1987-10-01,24.221,0.523,Angola
1987-11-01,24.88,0.322,Angola
1987-12-01,23.638,0.328,Angola
1988-01-01,23.732,0.363,Angola
1988-02-01,23.869,0.615,Angola
1988-03-01,23.448,0.387,Angola
1988-04-01,23.222,0.38,Angola
1988-05-01,21.461,0.593,Angola
1988-06-01,20.023,0.472,Angola
1988-07-01,18.785,0.441,Angola
1988-08-01,21.287,0.778,Angola
1988-09-01,23.239,0.423,Angola
1988-10-01,23.778,0.52,Angola
1988-11-01,23.591,0.391,Angola
1988-12-01,22.513,0.397,Angola
1989-01-01,22.289,0.6859999999999999,Angola
1989-02-01,22.668000000000003,0.524,Angola
1989-03-01,23.178,0.563,Angola
1989-04-01,22.291,0.297,Angola
1989-05-01,21.258000000000006,0.75,Angola
1989-06-01,19.469,0.389,Angola
1989-07-01,18.618,0.915,Angola
1989-08-01,21.376,0.7609999999999999,Angola
1989-09-01,23.105,0.578,Angola
1989-10-01,23.138,0.486,Angola
1989-11-01,24.05,0.672,Angola
1989-12-01,24.026,0.512,Angola
1990-01-01,22.827,0.515,Angola
1990-02-01,23.477,0.4320000000000001,Angola
1990-03-01,23.754,0.504,Angola
1990-04-01,22.962,0.382,Angola
1990-05-01,21.865,0.536,Angola
1990-06-01,20.157,0.3670000000000001,Angola
1990-07-01,19.6,0.469,Angola
1990-08-01,20.942,0.634,Angola
1990-09-01,22.942,0.384,Angola
1990-10-01,24.105,0.503,Angola
1990-11-01,24.27,0.361,Angola
1990-12-01,22.696,0.507,Angola
1991-01-01,22.33,0.5529999999999999,Angola
1991-02-01,22.925,0.465,Angola
1991-03-01,23.389,0.387,Angola
1991-04-01,22.57,0.363,Angola
1991-05-01,22.096,0.407,Angola
1991-06-01,19.844,0.591,Angola
1991-07-01,19.116,0.555,Angola
1991-08-01,21.208,0.617,Angola
1991-09-01,23.347,0.458,Angola
1991-10-01,23.39,0.42,Angola
1991-11-01,22.773000000000003,0.657,Angola
1991-12-01,22.157,0.5770000000000001,Angola
1992-01-01,23.141,0.455,Angola
1992-02-01,24.575,0.56,Angola
1992-03-01,23.811,0.7759999999999999,Angola
1992-04-01,23.398000000000003,0.4370000000000001,Angola
1992-05-01,21.53700000000001,0.419,Angola
1992-06-01,19.606,0.396,Angola
1992-07-01,18.743,0.482,Angola
1992-08-01,20.37,0.5820000000000001,Angola
1992-09-01,23.684,0.447,Angola
1992-10-01,24.327,0.643,Angola
1992-11-01,23.213,0.388,Angola
1992-12-01,23.578000000000003,0.4270000000000001,Angola
1993-01-01,23.045,0.51,Angola
1993-02-01,22.436,0.362,Angola
1993-03-01,23.084,0.501,Angola
1993-04-01,22.644,0.377,Angola
1993-05-01,22.051,0.6890000000000001,Angola
1993-06-01,19.445,0.4970000000000001,Angola
1993-07-01,19.585,0.39,Angola
1993-08-01,21.143,0.424,Angola
1993-09-01,23.092,0.545,Angola
1993-10-01,24.503,0.5329999999999999,Angola
1993-11-01,23.329,0.39,Angola
1993-12-01,23.135,0.423,Angola
1994-01-01,22.397,0.4920000000000001,Angola
1994-02-01,22.675,0.46,Angola
1994-03-01,23.958,0.485,Angola
